system,LinguaPy,,,,xcomet_qe_score,,,,XCOMET-QE-Strict-linguapy,,,,QEMetricX_24-Strict-linguapy,,,,metricx_qe_score,,,
,en-de,en-fr,en-pt,en-zh,en-de,en-fr,en-pt,en-zh,en-de,en-fr,en-pt,en-zh,en-de,en-fr,en-pt,en-zh,en-de,en-fr,en-pt,en-zh
aya canary-v2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
aya owsm4.0-ctc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
aya seamlessm4t,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
aya whisper,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
canary-v2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
desta2-8b,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
gemma canary-v2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
gemma owsm4.0-ctc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
gemma seamlessm4t,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
gemma whisper,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
owsm4.0-ctc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
phi4multimodal,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
qwen2audio-7b,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
seamlessm4t,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
spirelm,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
tower canary-v2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
tower owsm4.0-ctc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
tower seamlessm4t,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
tower whisper,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
voxtral-small-24b,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
