system,en_de,en_es,en_fr,en_it,en_nl,en_pt,en_zh
aya_canary-v2,0.02144717595951679,0.030711776813221462,0.026221804049544925,0.026742189924181616,0.029660548370148344,0.029365715218079597,0.023580271952950187
aya_owsm4.0-ctc,0.024775891551248982,0.033643095984787055,0.03098652690702812,0.03391815160076222,0.03310695200948338,0.026739074893933998,0.02331231203893324
aya_seamlessm4t,0.020438804437344554,0.022215368216632708,0.03390734928822712,0.028488752162914077,0.0288783613798668,0.02673373215309892,0.021411631874511262
aya_whisper,0.02957742629062204,0.03150537624152595,0.032233261747838,0.03010467713877378,0.034619518383318136,0.028738217656162798,0.029887891854527063
canary-v2,0.021599382919822392,0.0325540283353232,0.03509542643437987,0.02966580931723938,0.028502315774797938,0.0273236573451371,0.0
desta2-8b,0.08542986217378257,0.08142760139205955,0.07123381850031296,0.07120229769051765,0.08769782200020962,0.0835189610769838,0.06617369831602209
gemma_canary-v2,0.027806876659231965,0.03678896253833247,0.0327071652250452,0.03171720838324635,0.032691019299339874,0.03412157973574237,0.01668153399941979
gemma_owsm4.0-ctc,0.02310645403142356,0.04026209194970215,0.031632689777585994,0.03424175802181553,0.03844298169932174,0.036095232048320214,0.021067656627998164
gemma_seamlessm4t,0.018315805619328832,0.030593142281897846,0.0317898148250814,0.03232160650233325,0.02701397582295269,0.030552753621006606,0.015966816631536034
gemma_whisper,0.03494018401770172,0.04265086891657928,0.0357373104744522,0.0316510736196724,0.03567590351954566,0.03452328280935045,0.027904435948992938
owsm4.0-ctc,0.025973289828702922,0.038891516610949625,0.03716988589026506,0.04372709721546264,0.04397044611631115,0.0575446741944377,0.021341295300576855
phi4multimodal,0.07470006019934973,0.06338599696764033,0.11545827731890226,0.049406619990451615,0.06649289682809509,0.08258564883481906,0.04430917090842409
qwen2audio-7b,0.031232581168957694,0.030560120021588505,0.04399628802035251,0.042380884770877064,0.043445587533409484,0.03358827481372917,0.02357134273119141
seamlessm4t,0.023144317479160976,0.023637229233380727,0.03666165139731998,0.03917863995574765,0.03822475220193353,0.03636575652574375,0.017747338796999454
spirelm,0.06157304264190109,0.06650484664435831,0.0758018503830958,0.07914918603901266,0.07383348011218639,0.06681372784619732,0.06587242077461689
tower_canary-v2,0.023423145554326355,0.03284109821627821,0.026455658820660168,0.030196462171048023,0.031121506879801974,0.032506157677301556,0.01833164556625746
tower_owsm4.0-ctc,0.027029586480626346,0.03535625521595098,0.0314278692517056,0.03559772853921755,0.035627287397026246,0.03104335994892059,0.02329428340909651
tower_seamlessm4t,0.019822866344999537,0.027985215478770076,0.03259322492102225,0.02964751505634063,0.033312307133622945,0.02933520480802186,0.016767580489701003
tower_whisper,0.024645156029215968,0.033178684552106756,0.027200872988245736,0.03106007993724004,0.03913078891287525,0.032201754385982786,0.029487008676323756
voxtral-small-24b,0.027849959989841997,0.03705948604661214,0.03687822613491401,0.036441443197061024,0.035296219838291634,0.03206090198389104,0.022632204736341217
whisper,,,,,,,
