system,it_en
aya_canary-v2,0.025621891313176073
aya_owsm4.0-ctc,0.027784512348507755
aya_seamlessm4t,0.035696510721931876
aya_whisper,0.04183606625126525
canary-v2,0.043301392239373564
desta2-8b,0.1146698421454174
gemma_canary-v2,0.03791458292764537
gemma_owsm4.0-ctc,0.03965493592621704
gemma_seamlessm4t,0.04535257156813219
gemma_whisper,0.04638132064750338
owsm4.0-ctc,0.09425132990647991
phi4multimodal,0.047847197273510764
qwen2audio-7b,0.03591341892701654
seamlessm4t,0.03671206950174769
spirelm,
tower_canary-v2,0.03421152690065463
tower_owsm4.0-ctc,0.029246574865577586
tower_seamlessm4t,0.0345127047143018
tower_whisper,0.04080698898238712
voxtral-small-24b,0.057823362080632386
whisper,0.030696755995109473
