accent,mean
AUSTRALIAN ENGLISH,0.8568050581030547
CANADIAN ENGLISH,0.8474616513385305
ENGLAND ENGLISH,0.8060581370448426
FILIPINO,0.8339708215152578
GERMAN ENGLISH NON NATIVE SPEAKER,0.857165076081508
HONG KONG ENGLISH,0.8139762253314257
INDIA AND SOUTH ASIA INDIA PAKISTAN SRI LANKA,0.7844259546617313
IRISH ENGLISH,0.8006659149782998
MALAYSIAN ENGLISH,0.7939542969803194
NEW ZEALAND ENGLISH,0.8513636278547346
SCOTTISH ENGLISH,0.8601422433885081
SINGAPOREAN ENGLISH,0.8328289210791034
SOUTHERN AFRICAN SOUTH AFRICA ZIMBABWE NAMIBIA,0.8534794852637819
UNITED STATES ENGLISH,0.7965030734295558
