direction,zh_en,zh_en,zh_en,zh_en,zh_en,zh_en,zh_en
accent,BEI,CHD,CMN,JNN,TYN,WHN,XIA
system,,,,,,,
whisper,12.751676532957289,21.24476022720337,12.54184087117513,15.078875988721848,21.929442065102712,18.21154276529948,16.043884195387363
seamlessm4t,12.3412999841902,20.390468406677247,12.449424849616156,17.913415050506593,18.805704525538857,20.059610446294148,15.205468475818634
canary-v2,15.778753889931572,13.193301677703856,19.566015309757656,17.689938759803773,18.84606865474156,19.724607467651367,19.982433915138245
owsm4.0-ctc,22.933777703179253,25.0,22.514097902509903,22.47400369644165,24.59010928017753,24.011342366536457,23.18914246559143
aya_whisper,8.936367167366875,13.519078040122986,9.573377993371752,13.30608847141266,16.156134298869542,13.339056491851808,10.286688923835754
gemma_whisper,10.429738216929966,15.161782026290894,10.290433790948656,14.80080976486206,19.529455729893275,16.959718426068623,13.966660499572754
tower_whisper,7.315327962239583,15.092084217071534,8.568369272682402,12.949004936218262,19.556491783687047,17.3499915599823,15.7596253156662
aya_seamlessm4t,10.468921807077196,11.829158782958984,10.546696341700024,11.044742774963378,14.153141600745064,12.4403378367424,12.777251809835434
gemma_seamlessm4t,10.750939819547863,12.93425154685974,10.561340749263763,11.152285194396972,16.10083590235029,15.689738194147743,15.07448872923851
tower_seamlessm4t,11.165827923350864,13.5399245262146,10.62800501121415,9.53523895740509,15.312230042048864,15.094590067863464,16.12518221139908
aya_canary-v2,12.95544015036689,9.91481556892395,13.844482898712158,13.800574159622192,14.477742024830407,16.690460046132404,14.565342366695404
gemma_canary-v2,,,,,,,
tower_canary-v2,15.094634201791552,11.472752618789674,18.37938198778365,10.876562452316284,14.096289140837532,12.721495310465494,15.767312586307526
aya_owsm4.0-ctc,11.4953490363227,20.087562465667723,10.3108215894964,12.745674538612366,20.28117288861956,14.348657608032228,11.203447878360748
gemma_owsm4.0-ctc,11.167086177402073,22.43622779846191,11.73217228717274,15.056835174560549,21.897803715297155,20.62074859937032,20.52525806427002
tower_owsm4.0-ctc,8.610622843106588,21.713636016845705,8.765881574816174,15.65479793548584,21.725481305803573,19.09110689163208,16.936738312244415
desta2-8b,10.044101105795969,16.60426797866821,10.089652674065697,14.533301877975465,18.086897815976823,16.98070565859477,15.067224740982056
qwen2audio-7b,7.824773867925008,7.059697055816651,8.230365206797918,10.022718715667724,8.299983552524022,11.297016382217407,9.104412496089935
phi4multimodal,8.604965236451891,12.247161388397217,8.40717108713256,9.642907071113587,10.850426145962306,12.463793834050495,8.394662916660309
voxtral-small-24b,7.852995991706848,10.973000979423524,7.215197649266985,8.169908714294433,12.231786864144462,6.999674777189891,8.7964246571064
spirelm,,,,,,,
