system,BEI,CHD,JNN,TYN,WHN,XIA,CMN-minus-X weighted
aya_canary-v2,16.666666666666668,0.0,10.0,7.142857142857143,8.333333333333334,12.5,9.722222222222221
aya_owsm4.0-ctc,0.0,0.0,0.0,0.0,0.0,-12.5,-1.3888888888888888
aya_seamlessm4t,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aya_whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canary-v2,16.666666666666668,30.0,20.0,42.857142857142854,50.0,25.0,30.555555555555557
desta2-8b,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gemma_owsm4.0-ctc,0.0,0.0,-20.0,0.0,0.0,0.0,-2.7777777777777777
gemma_seamlessm4t,0.0,0.0,-20.0,0.0,0.0,0.0,-2.7777777777777777
gemma_whisper,0.0,0.0,-10.0,0.0,0.0,-12.5,-2.7777777777777777
owsm4.0-ctc,5.555555555555555,30.0,-10.0,0.0,0.0,-12.5,2.7777777777777777
phi4multimodal,-11.11111111111111,0.0,0.0,7.142857142857143,0.0,12.5,0.0
qwen2audio-7b,-5.555555555555555,-10.0,0.0,14.285714285714286,-8.333333333333334,-12.5,-2.7777777777777777
seamlessm4t,0.0,0.0,0.0,0.0,0.0,-12.5,-1.3888888888888888
tower_canary-v2,11.11111111111111,60.0,10.0,14.285714285714286,25.0,25.0,22.22222222222222
tower_owsm4.0-ctc,0.0,0.0,-10.0,0.0,-8.333333333333334,-25.0,-5.555555555555555
tower_seamlessm4t,0.0,0.0,0.0,0.0,0.0,-12.5,-1.3888888888888888
tower_whisper,0.0,0.0,0.0,0.0,0.0,0.0,0.0
voxtral-small-24b,0.0,0.0,0.0,0.0,-8.333333333333334,0.0,-1.3888888888888888
whisper,0.0,10.0,10.0,42.857142857142854,16.666666666666668,0.0,13.88888888888889
